City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kantang,TH,89.69,scattered clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
3,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
5,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
11,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Atuona,PF,78.67,clear sky,-9.8,-139.0333,Villa Enata
24,Voi,KE,78.78,moderate rain,-3.3945,38.563,Voi Wildlife Lodge
30,Narasannapeta,IN,83.89,scattered clouds,18.4167,84.05,G.lingaraju home
32,Faanui,PF,79.36,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
36,Saint-Philippe,RE,80.19,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
38,San Patricio,US,75.04,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
46,Victoria,HK,82.26,clear sky,22.2855,114.1577,Mini Hotel Central
47,Bengkulu,ID,81.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
48,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Sur,OM,87.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
51,Port-Gentil,GA,78.76,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
53,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
54,Puerto Escondido,MX,76.78,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
56,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
60,Namatanai,PG,83.3,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
64,Bom Jesus,BR,76.68,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
70,Karratha,AU,79.59,clear sky,-20.7377,116.8463,ibis Styles Karratha
73,San Policarpo,PH,82.4,overcast clouds,12.1791,125.5072,Agapita M. Nicart
75,Pundaguitan,PH,83.61,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
78,Grand-Lahou,CI,77.2,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
79,Choma,ZM,89.46,clear sky,-16.8065,26.9531,Kamuboola Lodge
84,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
91,Kavaratti,IN,81.88,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
92,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
96,Cabo San Lucas,MX,77.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
103,Lorengau,PG,83.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
107,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
111,Umm Lajj,SA,89.51,overcast clouds,25.0213,37.2685,Moon light Furnished Units
118,Allapalli,IN,85.51,few clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
122,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Poutur Pousada
123,Dutlwe,BW,82.18,clear sky,-23.9833,23.9,
125,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
127,Yeppoon,AU,76.78,few clouds,-23.1333,150.7333,Villa Mar Colina
128,Kavieng,PG,84.79,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
129,Nabire,ID,80.44,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
137,Butaritari,KI,82.45,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
143,Borazjan,IR,79.93,clear sky,29.2666,51.2159,شرکت زرمهریار شعبه سوم
149,Marsh Harbour,BS,75.88,broken clouds,26.5412,-77.0636,Abaco Beach Resort
153,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
154,Black River,JM,78.8,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
157,Dwarka,IN,84.52,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
165,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
166,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
171,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
176,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
179,Effium,NG,79.21,scattered clouds,6.6292,8.0593,
186,Tutoia,BR,78.33,overcast clouds,-2.7619,-42.2744,Pousada Guará's
192,Fuerte Olimpo,PY,79.21,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
193,Trincomalee,LK,83.52,overcast clouds,8.5711,81.2335,Welcombe Hotel
194,Palauig,PH,84.43,scattered clouds,15.435,119.9045,Alperi Botique Resort
200,La Orilla,MX,76.1,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
204,Broken Hill,AU,82.11,broken clouds,-31.95,141.4333,Royal Exchange Hotel
206,Bang Saphan,TH,87.75,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
208,Mackay,AU,77.68,overcast clouds,-21.15,149.2,International Lodge Motel
210,Port Augusta,AU,86.7,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
223,Bambari,CF,75.54,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
225,Tabou,CI,76.75,light rain,4.423,-7.3528,hotêl doufoulougou
230,Mweka,CD,75.65,overcast clouds,-4.85,21.5667,Guest House Boshab
233,Hithadhoo,MV,82.9,overcast clouds,-0.6,73.0833,Scoop Guest House
237,Candolim,IN,87.8,broken clouds,15.5181,73.7626,Resort Terra Paraiso
245,Bandarbeyla,SO,82.47,overcast clouds,9.4942,50.8122,JABIR HOTEL
246,Davila,PH,89.58,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
248,Loandjili,CG,80.71,light rain,-4.7561,11.8578,Résidence ARCHANGE
251,Ormara,PK,88.68,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
272,Ligayan,PH,83.14,broken clouds,4.6533,119.4706,
274,Sao Filipe,CV,79.21,overcast clouds,14.8961,-24.4956,Hotel Xaguate
285,Zhuhai,CN,84.85,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
287,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
291,Axim,GH,78.69,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
295,Sahawar,IN,80.83,clear sky,27.8,78.85,कलुआ नगला
298,Poum,NC,75.51,scattered clouds,-20.2333,164.0167,Gîte kajeon
300,Richards Bay,ZA,76.55,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
302,Bangkalan,ID,87.75,light rain,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
303,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
305,Cairns,AU,87.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
308,Reyes,BO,75.4,broken clouds,-14.3167,-67.3833,
312,Les Cayes,HT,75.9,clear sky,18.2,-73.75,Villa Orphee
313,Bowen,AU,79.02,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
314,Maputo,MZ,77.23,few clouds,-25.9653,32.5892,Pestana Rovuma
315,Grand Gaube,MU,80.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
323,Wukari,NG,82.6,scattered clouds,7.85,9.7833,Elimtop
335,Buraydah,SA,81.05,few clouds,26.326,43.975,فندق راحة السلام
342,Palimbang,PH,81.97,light rain,6.2106,124.1894,Felmar Beach resort
345,Port Blair,IN,84.2,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
354,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
357,Acarau,BR,79.29,overcast clouds,-2.8856,-40.12,castelo pizzaria
359,Sinnamary,GF,77.99,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
362,Chepareria,KE,75.67,overcast clouds,1.3077,35.2039,Hamza Lodge
367,Puerto El Triunfo,SV,75.36,overcast clouds,13.2833,-88.55,Hotel Jardin
368,Gat,IL,79.81,overcast clouds,31.61,34.7642,OlusHome
375,Nuevo Progreso,MX,76.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
378,Thaton,MM,86.29,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
380,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
387,Hobyo,SO,84.69,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
390,Makakilo City,US,75.56,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
391,Bambanglipuro,ID,80.89,moderate rain,-7.95,110.2833,Puri Brata
401,Waingapu,ID,84.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
405,Salinopolis,BR,78.51,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
411,Kuching,MY,89.82,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
415,Maumere,ID,84.25,broken clouds,-8.6199,122.2111,Sylvia Hotel
