City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aranos,NA,-24.1333,19.1167,73.08,11,0,11.77,clear sky
1,Puerto Ayora,EC,-0.7393,-90.3518,69.19,92,70,6.78,broken clouds
2,Kantang,TH,7.4054,99.5156,89.69,66,40,2.3,scattered clouds
3,Georgetown,MY,5.4112,100.3354,89.53,72,20,1.01,few clouds
4,Aklavik,CA,68.2191,-135.0107,29.23,88,98,8.12,overcast clouds
5,Hilo,US,19.7297,-155.09,84.27,91,75,0.0,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,8.05,clear sky
7,Saint George,US,37.1041,-113.5841,60.53,48,1,1.01,clear sky
8,Port Alfred,ZA,-33.5906,26.891,68.5,79,100,19.42,overcast clouds
9,Torbay,CA,47.6666,-52.7314,46.58,95,90,14.97,mist
10,Iqaluit,CA,63.7506,-68.5145,24.53,79,75,3.0,broken clouds
11,Kapaa,US,22.0752,-159.319,78.78,85,1,5.75,clear sky
12,Vaini,TO,-21.2,-175.2,75.36,88,20,6.91,few clouds
13,East London,ZA,-33.0153,27.9116,74.34,68,0,8.05,clear sky
14,Ulaanbaatar,MN,47.9077,106.8832,46.53,39,20,8.95,few clouds
15,Chernomorskiy,RU,44.8506,38.4936,55.47,56,23,5.5,few clouds
16,Atuona,PF,-9.8,-139.0333,78.67,72,1,19.71,clear sky
17,Narsaq,GL,60.9167,-46.05,25.02,62,100,7.63,overcast clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,54.09,91,90,1.99,overcast clouds
19,Tiksi,RU,71.6872,128.8694,4.28,93,93,6.35,overcast clouds
20,Srednekolymsk,RU,67.45,153.6833,-12.55,98,81,4.16,broken clouds
21,Brae,GB,60.3964,-1.353,49.91,86,83,16.46,broken clouds
22,Ixtapa,MX,20.7,-105.2,72.97,93,20,3.13,few clouds
23,Kodiak,US,57.79,-152.4072,41.59,90,100,5.75,overcast clouds
