City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2021-10-31 22:42:58,-34.4187,19.2345,61.9,84,100,11.39
1,Port Alfred,ZA,2021-10-31 22:42:58,-33.5906,26.891,66.31,82,82,15.19
2,Cimarron Hills,US,2021-10-31 22:38:00,38.8586,-104.6989,55.11,94,90,9.22
3,Leninskoye,KZ,2021-10-31 22:42:59,41.7589,69.3864,42.73,69,8,2.77
4,Hobart,AU,2021-10-31 22:42:59,-42.8794,147.3294,58.26,60,75,1.99
5,Albany,US,2021-10-31 22:43:00,42.6001,-73.9662,56.75,79,99,3.0
6,Samastipur,IN,2021-10-31 22:43:00,25.85,85.7833,67.93,70,0,2.28
7,Velesin,CZ,2021-10-31 22:43:01,48.8295,14.4625,51.55,85,24,4.63
8,Ostrovnoy,RU,2021-10-31 22:43:01,68.0531,39.5131,35.24,83,98,12.06
9,Tasiilaq,GL,2021-10-31 22:43:02,65.6145,-37.6368,24.96,59,51,6.42
10,Rikitea,PF,2021-10-31 22:43:02,-23.1203,-134.9692,72.93,86,77,17.02
11,Ribeira Grande,PT,2021-10-31 22:43:03,38.5167,-28.7,70.88,89,100,6.85
12,Makat,KZ,2021-10-31 22:43:03,47.6469,53.3463,44.28,81,1,5.68
13,Salihorsk,BY,2021-10-31 22:43:03,52.7876,27.5415,40.12,69,0,8.01
14,Manicore,BR,2021-10-31 22:43:04,-5.8092,-61.3003,80.69,70,78,3.65
15,Tavrichanka,RU,2021-10-31 22:43:04,43.3378,131.8639,39.06,71,100,11.39
16,Puerto Ayora,EC,2021-10-31 22:43:05,-0.7393,-90.3518,78.76,83,36,9.19
17,Mar Del Plata,AR,2021-10-31 22:42:25,-38.0023,-57.5575,55.99,85,90,5.01
18,Arraial Do Cabo,BR,2021-10-31 22:39:49,-22.9661,-42.0278,70.72,92,100,18.84
19,Nizhniy Odes,RU,2021-10-31 22:43:06,63.6445,54.856,16.93,97,91,4.72
